Name_company,Corporate Name,site_url,Authority_Name,Authority_link,date,id,Warning ID,NCA,Date Published At NCA,Date Published At IOSCO,Last Updated,NCA URL,Commercial Name,URL,Other URL,Category,Additional Information
Crypto Cash New Zealand,,cryptocashtrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39513,39513.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Crypto Cash New Zealand,cryptocashtrading.com/nz/,,Fraud and Other Types of Misconduct,
Trixo Fund New Zealand,,trixofundtrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39512,39512.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Trixo Fund New Zealand,trixofundtrading.com/nz/,,Fraud and Other Types of Misconduct,
Bitcode AI New Zealand,,bitcodeaitrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39511,39511.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Bitcode AI New Zealand,bitcodeaitrading.com/nz/,,Fraud and Other Types of Misconduct,
Exonix Veracity New Zealand,,exonixveracitytrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39510,39510.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Exonix Veracity New Zealand,exonixveracitytrading.com/nz/,,Fraud and Other Types of Misconduct,
Bit GPTNew Zealand,,bitgptaitrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39509,39509.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Bit GPTNew Zealand,bitgptaitrading.com/nz/,,Fraud and Other Types of Misconduct,
Immediate Vortex New Zealand,,immediatevortextrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39508,39508.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Immediate Vortex New Zealand,immediatevortextrading.com/nz/,,Fraud and Other Types of Misconduct,
Vortex Genesis New Zealand,,vortexgenesisaitrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39507,39507.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Vortex Genesis New Zealand,vortexgenesisaitrading.com/nz/,,Fraud and Other Types of Misconduct,
Prime Advantage New Zealand,,primeadvantagetrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39506,39506.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Prime Advantage New Zealand,primeadvantagetrading.com/nz/,,Fraud and Other Types of Misconduct,
Immediate Chenix New Zealand,,immediatechenixtrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39505,39505.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Immediate Chenix New Zealand,immediatechenixtrading.com/nz/,,Fraud and Other Types of Misconduct,
Cryptotact New Zealand,,cryptotacttrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39504,39504.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Cryptotact New Zealand,cryptotacttrading.com/nz/,,Fraud and Other Types of Misconduct,
Immediate Momentum New Zealand,,immediatemomentumtrade.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39503,39503.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Immediate Momentum New Zealand,immediatemomentumtrade.com/nz/,,Fraud and Other Types of Misconduct,
Immediate Future New Zealand,,immediatefuturetrading.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39502,39502.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Immediate Future New Zealand,immediatefuturetrading.com/nz/,,Fraud and Other Types of Misconduct,
Immediate Chain New Zealand,,immediatechaintrading.com/nz,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39501,39501.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Immediate Chain New Zealand,immediatechaintrading.com/nz,,Fraud and Other Types of Misconduct,
Bitcore Momentum New Zealand,,bitcoremomentumtrade.com/nz/,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,2025-07-21,39500,39500.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/fake-investment-platforms/,Bitcore Momentum New Zealand,bitcoremomentumtrade.com/nz/,,Fraud and Other Types of Misconduct,"The FMA has become aware of a large number of websites promoting fake cryptocurrency investment platforms to New Zealanders.We recommend extreme caution when dealing with any of the websites/platforms listed below. They are not registered to provide financial services in New Zealand.If you have invested money with any of these platforms, you may not be able to withdraw it. You may be asked to pay upfront fees to process any withdrawals.However, even if these fees are paid, no money is returned."
SolvaGlobal,,solvaglobal.co.uk,New Zealand - Financial Markets Authority,https://www.fma.govt.nz/library/warnings-and-alerts/cryptocurrency-recovery-scams/,2025-07-21,39499,39499.0,,2025-07-21,2025-07-21,2025-07-21,https://www.fma.govt.nz/library/warnings-and-alerts/cryptocurrency-recovery-scams/,SolvaGlobal,solvaglobal.co.uk,,Fraud and Other Types of Misconduct,"The FMA is warning about cryptocurrency recovery scams targeting New Zealand investors. These recovery scams target people who have already lost money to previous scams.These scammers falsely claim that lost funds have been recovered, but this is an attempt to extract even more money from scam victims."
DCBerlinDCBerlinbiz,,https:// dcberlinbiz.com,Quebec - Autorité des marchés financiers,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/dcberlin,2025-07-21,39498,39498.0,,2025-07-18,2025-07-21,2025-07-21,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/dcberlin,DCBerlin,https:// dcberlinbiz.com,,Unregistered/Unlicensed entity offering financial products or services,DCBerlin is not registered with the Autorité des marchés financiers (AMF) and is not authorized to solicit investors in Québec.
Raliplen,,https://raliplen.com,Quebec - Autorité des marchés financiers,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/raliplen,2025-07-21,39497,39497.0,,2025-07-18,2025-07-21,2025-07-21,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/raliplen,Raliplen,https://raliplen.com,,Unregistered/Unlicensed entity offering financial products or services,"Raliplen is not registered with the Autorité des marchés financiers (AMF) and is not authorized to solicit investors in Québec.Last known city: London, United Kingdom."
XBTDirect,,https://xbt-direct.net,Quebec - Autorité des marchés financiers,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/xbtdirect,2025-07-21,39496,39496.0,,2025-07-18,2025-07-21,2025-07-21,https://lautorite.qc.ca/en/general-public/media-centre/investor-warnings/investor-warnings-sheet/xbtdirect,XBTDirect,https://xbt-direct.net,,Unregistered/Unlicensed entity offering financial products or services,XBTDirect is not registered with the Autorité des marchés financiers (AMF) and is not authorized to solicit investors in Québec.
Financeoptionstrade.com,,financeoptionstrade.com,United Kingdom - Financial Conduct Authority,https://www.fca.org.uk/news/warnings/financeoptionstradecom,2025-07-21,39494,39494.0,,2025-07-18,2025-07-21,2025-07-21,https://www.fca.org.uk/news/warnings/financeoptionstradecom,Financeoptionstrade.com,financeoptionstrade.com,,Unregistered/Unlicensed entity offering financial products or services,
Nadexfxmastery,,nadexfxmastery.click,United Kingdom - Financial Conduct Authority,https://www.fca.org.uk/news/warnings/nadexfxmastery,2025-07-21,39493,39493.0,,2025-07-18,2025-07-21,2025-07-21,https://www.fca.org.uk/news/warnings/nadexfxmastery,Nadexfxmastery,nadexfxmastery.click,,Unregistered/Unlicensed entity offering financial products or services,
lwex02.com,,lwex02.com,France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/produits-derives-sur-crypto-actifs/lwex02com,2025-07-21,39492,39492.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/produits-derives-sur-crypto-actifs/lwex02com,lwex02.com,lwex02.com,,Unregistered/Unlicensed entity offering financial products or services,Crypto-asset derivatives
fdte2.xyz,,fdte2.xyz,France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/produits-derives-sur-crypto-actifs/fdte2xyz,2025-07-21,39491,39491.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/produits-derives-sur-crypto-actifs/fdte2xyz,fdte2.xyz,fdte2.xyz,,Unregistered/Unlicensed entity offering financial products or services,Crypto-asset derivatives
pré[email protected],,pré[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/prenomnomramifygestionfr,2025-07-21,39490,39490.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/prenomnomramifygestionfr,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
bitaiapp.pro,,bitaiapp.pro,France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/bitaiapppro,2025-07-21,39489,39489.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/bitaiapppro,bitaiapp.pro,bitaiapp.pro,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/supportbitaiappcom,2025-07-21,39488,39488.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/supportbitaiappcom,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/tradingroombitaiapppro,2025-07-21,39487,39487.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/tradingroombitaiapppro,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
tax.crypto.com,,tax.crypto.com,France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/taxcryptocom,2025-07-21,39486,39486.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/taxcryptocom,tax.crypto.com,tax.crypto.com,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/infocryptocompliancegmailcom,2025-07-21,39485,39485.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/infocryptocompliancegmailcom,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
pré[email protected],,pré[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/prenomnomasset-managementcryptocom,2025-07-21,39484,39484.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/prenomnomasset-managementcryptocom,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/infoproyectofinancieroes,2025-07-21,39483,39483.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/infoproyectofinancieroes,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/rrhhproyectofinancieroes,2025-07-21,39482,39482.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/rrhhproyectofinancieroes,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/legalfinancialopenprojectcom,2025-07-21,39481,39481.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/legalfinancialopenprojectcom,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
nom.pré[email protected],,nom.pré[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/nomprenomgestionfondoendowmentfr,2025-07-21,39480,39480.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation/nomprenomgestionfondoendowmentfr,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
[email protected],,[email protected],France - Autorité des marchés financiers,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation-amf/amf-francepostcom,2025-07-21,39479,39479.0,,2025-07-18,2025-07-21,2025-07-21,https://www.amf-france.org/fr/espace-epargnants/proteger-son-epargne/listes-noires-et-mises-en-garde/usurpation-amf/amf-francepostcom,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,,Registered/Licensed entity impersonators,
